X,Y
134646.765411969,-122563.7265625
114633.11698211,-122604.265625
89606.7419742986,-122654.984375
74585.9412008537,-122685.41796875
159664.874778348,-127513.6015625
139659.491957339,-127555.765625
124651.116977973,-127587.40625
119647.499778166,-127597.953125
114643.462668719,-127608.5078125
109639.01346627,-127619.0703125
104634.152125937,-127629.6171875
79603.6443011641,-127682.41015625
74596.2966653355,-127692.97265625
69588.5349258676,-127703.52734375
144672.202902764,-132546.9921875
139670.241982706,-132557.9453125
134667.859136391,-132568.8984375
124661.870863233,-132590.828125
119658.253684246,-132601.8046875
114654.220489624,-132612.76171875
109649.775147237,-132623.71484375
104644.913836141,-132634.6953125
99639.6404114703,-132645.671875
89627.8552465771,-132667.609375
84621.339621569,-132678.5859375
79614.409934113,-132689.546875
69599.3083759253,-132711.5
159686.773225058,-137514.671875
149684.921626805,-137537.390625
144683.366975111,-137548.765625
134679.015412314,-137571.515625
129676.234126886,-137582.875
124673.04079846,-137594.265625
119669.423584406,-137605.625
114665.394274149,-137617.0
109660.949014884,-137628.390625
104656.089604405,-137639.765625
94645.1325822423,-137662.53125
89639.0349169651,-137673.921875
84632.5231892298,-137685.296875
79625.5935194835,-137696.6875
149696.499779681,-142538.75
144694.94503674,-142550.515625
139692.976341969,-142562.3125
134690.601305188,-142574.09375
129687.820092005,-142585.875
124684.622785258,-142597.65625
119681.003676899,-142609.453125
109672.534890015,-142633.03125
104667.679448683,-142644.828125
99662.4060112026,-142656.625
94656.718511222,-142668.421875
89650.6247612413,-142680.21875
84644.1169303977,-142692.015625
79637.1872429201,-142703.828125
74629.8435113023,-142715.640625
69622.089595689,-142727.453125
144706.937253133,-147552.28125
139704.976315313,-147564.484375
134702.601315377,-147576.65625
129699.816130748,-147588.859375
124696.61888868,-147601.078125
119692.99975276,-147613.28125
114688.970451063,-147625.484375
104679.679421478,-147649.890625
99674.4098995679,-147662.109375
94668.7262961818,-147674.3125
89662.632546205,-147686.53125
84656.1247717657,-147698.765625
79649.1950652662,-147710.984375
74641.8513152846,-147723.203125
69634.1013153062,-147735.421875
64625.9391820877,-147747.640625
139717.374725324,-152566.625
114701.386473168,-152629.71875
109696.948933847,-152642.328125
104692.091546349,-152654.96875
99686.8258918613,-152667.59375
94681.1482016568,-152680.234375
89675.0544320239,-152692.859375
84668.5465998942,-152705.484375
79661.6208282974,-152718.125
74654.2809746,-152730.75
114714.210633134,-157633.9375
109709.773173739,-157647.0
104704.919652965,-157660.046875
99699.6540584532,-157673.09375
94693.9801744282,-157686.109375
89687.8903610085,-157699.15625
84681.3825485298,-157712.203125
74667.1247360726,-157738.296875
69659.3746954949,-157751.328125
64651.2145798685,-157764.390625
59642.6384028484,-157777.4375
54633.6442672549,-157790.5
39604.036648001,-157773.437500003
149746.921581923,-162544.078125
114727.452873646,-162638.203125
109723.015352721,-162651.65625
104718.163790243,-162665.109375
89701.1403528105,-162705.453125
84694.6325193984,-162718.90625
79687.7106653563,-162732.375
69672.632540086,-162759.296875
64664.4723838563,-162772.765625
59655.8981441785,-162786.21875
144759.015323112,-167559.265625
119745.132531976,-167628.578125
74694.0465943677,-167753.375
69686.3044068921,-167767.25
59669.5700535193,-167795.015625
54658.2643696834,-166971.953125003
89728.8707935409,-172718.0625
79715.4567310895,-172746.625
74708.1286061774,-172760.90625
64690.7399654777,-172267.765625003
109765.226265311,-177665.578125
94749.4489100051,-177709.65625
84736.862949704,-177739.046875
74722.0167288962,-177562.406250003
129795.343444516,-182609.8125
89758.2652958944,-182730.640625
272499.875,-187500.3125
277499.875,-187500.3125
149819.265311216,-187550.78125
272499.875,-192500.3125
277499.875,-192500.3125
139831.491890123,-192583.9375
192499.9375,-197500.3125
272499.875,-197500.3125
277499.875,-197500.3125
154852.202794793,-197537.09375
144849.554382536,-197569.765625
129842.49964386,-197618.75
182499.9375,-202500.3125
187499.9375,-202500.3125
277499.875,-202500.3125
129859.046562175,-202621.734375
119852.168646888,-202625.187500003
129875.999626216,-207624.6875
192499.9375,-212500.3125
177499.9375,-217500.3125
182499.9375,-217500.3125
187499.9375,-217500.3125
177499.9375,-222500.3125
187499.9375,-227500.3125
192499.9375,-227500.3125
297499.875,-227500.3125
307499.875,-227500.3125
172499.9375,-232500.3125
287499.875,-232500.3125
297499.875,-232500.3125
307499.875,-232500.3125
222499.9375,-237500.3125
332499.875,-237500.34375
337499.875,-237500.375
312499.875,-242500.3125
342499.875,-242500.375
282499.875,-247500.3125
302499.875,-247500.3125
312499.875,-247500.3125
327499.875,-247500.3125
337499.875,-247500.375
347499.875,-252500.375
257499.921875,-257500.3125
357499.875,-257500.34375
337499.875,-257500.375
257499.921875,-262500.3125
297499.875,-262500.3125
302499.875,-262500.3125
332499.875,-262500.34375
337499.875,-262500.375
347499.875,-262500.375
302499.875,-267500.3125
307499.875,-267500.3125
337499.875,-267500.375
347499.875,-267500.375
307499.875,-272500.3125
342499.875,-272500.375
347499.875,-272500.375
307499.875,-277500.3125
342499.875,-277500.375
357499.875,-277500.375
267499.875,-282500.3125
297499.875,-282500.3125
302499.875,-282500.3125
307499.875,-282500.3125
322499.875,-282500.3125
332499.875,-282500.34375
337499.875,-282500.375
342499.875,-282500.375
287499.875,-287500.3125
292499.875,-287500.3125
297499.875,-287500.3125
307499.875,-287500.3125
312499.875,-287500.3125
342499.875,-287500.375
287499.875,-292500.3125
292499.875,-292500.3125
297499.875,-292500.3125
302499.875,-292500.3125
312499.875,-292500.3125
317499.875,-292500.3125
322499.875,-292500.3125
287499.875,-296965.9375
292499.875,-297500.3125
297499.875,-297500.3125
302499.875,-297500.3125
307499.875,-297500.3125
312499.875,-297500.3125
317499.875,-297500.3125
337499.875,-297500.375
342499.875,-297500.375
352499.875,-297500.375
357499.875,-297500.375
317499.875,-302500.3125
322499.875,-302500.3125
327499.875,-302500.3125
342499.875,-302500.375
